PANTONE NAME	C	M	Y	K	
PANTONE 468 CHC	6	15	28	0	468
PANTONE 4625 CHC	0	59	100	78	4625
PANTONE 4635 CHC	0	49	87	48	4635
PANTONE 4645 CHC	0	40	60	34	4645
PANTONE 4655 CHC	0	34	49	24	4655
PANTONE 4665 CHC	0	26	38	16	4665
PANTONE 4675 CHC	0	19	29	9	4675
PANTONE 4685 CHC	0	13	22	4	4685
PANTONE 469 CHC	0	53	100	63	469
PANTONE 470 CHC	0	55	100	35	470
PANTONE 471 CHC	0	58	100	24	471
PANTONE 472 CHC	0	41	59	3	472
PANTONE 473 CHC	0	29	40	0	473
PANTONE 474 CHC	0	23	33	0	474
PANTONE 475 CHC	0	17	27	0	475
PANTONE 4695 CHC	0	79	100	76	4695
PANTONE 4705 CHC	0	62	72	55	4705
PANTONE 4715 CHC	0	51	46	45	4715
PANTONE 4725 CHC	0	41	33	36	4725
PANTONE 4735 CHC	0	26	22	19	4735
PANTONE 4745 CHC	0	20	18	12	4745
PANTONE 4755 CHC	0	14	14	8	4755
PANTONE 476 CHC	74	93	100	0	476
PANTONE 477 CHC	65	92	100	0	477
PANTONE 478 CHC	58	94	100	0	478
PANTONE 479 CHC	32	65	57	0	479
PANTONE 480 CHC	14	32	28	0	480
PANTONE 481 CHC	8	22	21	0	481
PANTONE 482 CHC	5	17	17	0	482
PANTONE 483 CHC	0	85	100	63	483
PANTONE 484 CHC	0	94	98	31	484
PANTONE 485 CHC	0	100	89	2	485
PANTONE 486 CHC	0	61	42	0	486
PANTONE 487 CHC	0	45	31	0	487
PANTONE 488 CHC	0	33	24	0	488
PANTONE 489 CHC	0	24	17	0	489
PANTONE 490 CHC	0	71	86	74	490
PANTONE 491 CHC	0	76	87	57	491
PANTONE 492 CHC	0	78	81	43	492
PANTONE 493 CHC	0	53	22	9	493
PANTONE 494 CHC	0	36	16	0	494
PANTONE 495 CHC	0	25	12	0	495
PANTONE 496 CHC	0	17	9	0	496
PANTONE 497 CHC	0	66	87	81	497
PANTONE 498 CHC	0	62	77	63	498
PANTONE 499 CHC	0	62	80	57	499
PANTONE 500 CHC	0	48	27	19	500
PANTONE 501 CHC	0	31	15	2	501
PANTONE 502 CHC	0	22	12	0	502
PANTONE 503 CHC	0	16	9	0	503
PANTONE 4975 CHC	0	75	96	83	4975
PANTONE 4985 CHC	0	60	41	54	4985
PANTONE 4995 CHC	0	52	27	41	4995
PANTONE 5005 CHC	0	42	20	28	5005
PANTONE 5015 CHC	0	30	15	16	5015
PANTONE 5025 CHC	0	23	14	9	5025
PANTONE 5035 CHC	0	15	11	3	5035
PANTONE 504 CHC	79	100	100	0	504
PANTONE 505 CHC	66	100	96	0	505
PANTONE 506 CHC	59	100	93	0	506
PANTONE 507 CHC	13	57	22	0	507
PANTONE 508 CHC	3	40	12	0	508
PANTONE 509 CHC	0	27	10	0	509
PANTONE 510 CHC	0	18	7	0	510
PANTONE 511 CHC	72	100	63	0	511
PANTONE 512 CHC	57	100	27	0	512
PANTONE 513 CHC	41	100	0	0	513
PANTONE 514 CHC	15	55	0	0	514
PANTONE 515 CHC	8	41	0	0	515
PANTONE 516 CHC	3	31	0	0	516
PANTONE 517 CHC	0	20	2	0	517
PANTONE 5115 CHC	80	100	75	0	5115
PANTONE 5125 CHC	67	95	52	0	5125
PANTONE 5135 CHC	51	74	36	0	5135
PANTONE 5145 CHC	38	60	24	0	5145
PANTONE 5155 CHC	21	37	13	0	5155
PANTONE 5165 CHC	8	18	7	0	5165
PANTONE 5175 CHC	4	14	4	0	5175
PANTONE 518 CHC	82	100	71	0	518
PANTONE 519 CHC	68	100	38	0	519
PANTONE 520 CHC	64	100	22	0	520
PANTONE 521 CHC	25	51	0	0	521
PANTONE 522 CHC	17	38	0	0	522
PANTONE 523 CHC	11	29	0	0	523
PANTONE 524 CHC	7	21	0	0	524
PANTONE 5185 CHC	88	100	82	0	5185
PANTONE 5195 CHC	82	100	77	0	5195
PANTONE 5205 CHC	55	72	48	0	5205
PANTONE 5215 CHC	34	46	30	0	5215
PANTONE 5225 CHC	22	31	20	0	5225
PANTONE 5235 CHC	11	19	12	0	5235
PANTONE 5245 CHC	7	15	9	0	5245
PANTONE 525 CHC	85	100	53	0	525
PANTONE 526 CHC	72	100	12	0	526
PANTONE 527 CHC	66	100	0	0	527
PANTONE 528 CHC	42	70	0	0	528
PANTONE 529 CHC	25	47	0	0	529
PANTONE 530 CHC	17	37	0	0	530
PANTONE 531 CHC	10	25	0	0	531
PANTONE 5255 CHC	89	80	0	65	5255
PANTONE 5265 CHC	73	70	0	55	5265
PANTONE 5275 CHC	59	59	0	48	5275
PANTONE 5285 CHC	28	29	0	29	5285
PANTONE 5295 CHC	16	18	0	20	5295
PANTONE 5305 CHC	8	10	0	11	5305
PANTONE 5315 CHC	4	6	0	8	5315
PANTONE 532 CHC	100	93	78	0	532
PANTONE 533 CHC	100	94	62	0	533
PANTONE 534 CHC	100	92	40	0	534
PANTONE 535 CHC	50	40	16	0	535
PANTONE 536 CHC	38	31	11	0	536
PANTONE 537 CHC	28	22	8	0	537
PANTONE 538 CHC	16	13	4	0	538
PANTONE 539 CHC	100	45	0	71	539
PANTONE 540 CHC	100	50	0	58	540
PANTONE 541 CHC	100	52	0	39	541
PANTONE 542 CHC	61	29	0	9	542
PANTONE 543 CHC	35	16	0	3	543
PANTONE 544 CHC	21	9	0	0	544
PANTONE 545 CHC	16	7	0	0	545
PANTONE 5395 CHC	100	22	0	85	5395
PANTONE 5405 CHC	54	15	0	54	5405
PANTONE 5415 CHC	39	8	0	43	5415
PANTONE 5425 CHC	29	6	0	32	5425
PANTONE 5435 CHC	14	2	0	23	5435
PANTONE 5445 CHC	9	0	0	15	5445
PANTONE 5455 CHC	5	0	0	11	5455
PANTONE 546 CHC	100	0	30	84	546
PANTONE 547 CHC	100	0	0	79	547
PANTONE 548 CHC	100	9	0	71	548
PANTONE 549 CHC	50	8	0	28	549
PANTONE 550 CHC	36	6	0	20	550
PANTONE 551 CHC	26	2	0	15	551
PANTONE 552 CHC	12	0	0	9	552
PANTONE 5463 CHC	100	0	46	81	5463
PANTONE 5473 CHC	92	0	30	51	5473
PANTONE 5483 CHC	60	0	23	36	5483
PANTONE 5493 CHC	42	0	18	25	5493
PANTONE 5503 CHC	29	0	14	17	5503
PANTONE 5513 CHC	19	0	10	9	5513
PANTONE 5523 CHC	13	0	8	5	5523
PANTONE 5467 CHC	80	0	45	88	5467
PANTONE 5477 CHC	55	0	33	77	5477
PANTONE 5487 CHC	36	0	22	63	5487
PANTONE 5497 CHC	22	0	14	39	5497
PANTONE 5507 CHC	13	0	11	24	5507
PANTONE 5517 CHC	9	0	9	16	5517
PANTONE 5527 CHC	7	0	7	12	5527
PANTONE 553 CHC	75	0	74	80	553
PANTONE 554 CHC	80	0	67	66	554
PANTONE 555 CHC	82	0	63	56	555
PANTONE 556 CHC	41	0	29	32	556
PANTONE 557 CHC	28	0	22	21	557
PANTONE 558 CHC	20	0	17	15	558
PANTONE 559 CHC	15	0	14	10	559
PANTONE 5535 CHC	82	0	80	79	5535
PANTONE 5545 CHC	53	0	48	54	5545
PANTONE 5555 CHC	44	0	37	40	5555
PANTONE 5565 CHC	31	0	27	30	5565
PANTONE 5575 CHC	24	0	24	19	5575
PANTONE 5585 CHC	18	0	19	15	5585
PANTONE 5595 CHC	12	0	14	9	5595
PANTONE 560 CHC	80	0	72	69	560
PANTONE 561 CHC	82	0	57	46	561
PANTONE 562 CHC	86	0	52	33	562
PANTONE 563 CHC	54	0	36	0	563
PANTONE 564 CHC	38	0	27	0	564
PANTONE 565 CHC	28	0	20	0	565
PANTONE 566 CHC	19	0	15	0	566
PANTONE 5605 CHC	80	0	77	87	5605
PANTONE 5615 CHC	38	0	42	71	5615
PANTONE 5625 CHC	25	0	31	60	5625
PANTONE 5635 CHC	17	0	18	33	5635
PANTONE 5645 CHC	11	0	15	22	5645
PANTONE 5655 CHC	9	0	13	16	5655
PANTONE 5665 CHC	5	0	10	12	5665
PANTONE 567 CHC	80	0	70	65	567
PANTONE 568 CHC	89	0	63	40	568
PANTONE 569 CHC	100	0	58	21	569
PANTONE 570 CHC	53	0	35	0	570
PANTONE 571 CHC	34	0	24	0	571
PANTONE 572 CHC	28	0	20	0	572
PANTONE 573 CHC	21	0	16	0	573
PANTONE 574 CHC	36	0	100	70	574
PANTONE 575 CHC	45	0	100	51	575
PANTONE 576 CHC	47	0	100	39	576
PANTONE 577 CHC	23	0	45	16	577
PANTONE 578 CHC	19	0	38	10	578
PANTONE 579 CHC	14	0	29	6	579
PANTONE 580 CHC	10	0	20	3	580
PANTONE 5743 CHC	35	0	100	78	5743
PANTONE 5753 CHC	20	0	90	67	5753
PANTONE 5763 CHC	17	0	64	54	5763
PANTONE 5773 CHC	13	0	42	38	5773
PANTONE 5783 CHC	10	0	31	28	5783
PANTONE 5793 CHC	6	0	22	20	5793
PANTONE 5803 CHC	4	0	17	13	5803
PANTONE 5747 CHC	32	0	100	73	5747
PANTONE 5757 CHC	22	0	100	54	5757
PANTONE 5767 CHC	17	0	70	43	5767
PANTONE 5777 CHC	12	0	51	32	5777
PANTONE 5787 CHC	8	0	36	21	5787
PANTONE 5797 CHC	5	0	27	14	5797
PANTONE 5807 CHC	3	0	20	9	5807
PANTONE 581 CHC	9	0	100	64	581
PANTONE 582 CHC	14	0	100	42	582
PANTONE 583 CHC	25	0	100	20	583
PANTONE 584 CHC	13	0	78	7	584
PANTONE 585 CHC	10	0	65	3	585
PANTONE 586 CHC	8	0	54	1	586
PANTONE 587 CHC	5	0	43	0	587
PANTONE 5815 CHC	8	0	100	80	5815
PANTONE 5825 CHC	6	0	100	62	5825
PANTONE 5835 CHC	5	0	64	43	5835
PANTONE 5845 CHC	3	0	51	35	5845
PANTONE 5855 CHC	1	0	39	26	5855
PANTONE 5865 CHC	1	0	32	19	5865
PANTONE 5875 CHC	0	0	23	13	5875
PANTONE 600 CHC	1	0	38	0	600
PANTONE 601 CHC	1	0	49	1	601
PANTONE 602 CHC	1	0	57	2	602
PANTONE 603 CHC	2	0	69	2	603
PANTONE 604 CHC	4	0	87	4	604
PANTONE 605 CHC	4	0	100	11	605
PANTONE 606 CHC	3	0	100	17	606
PANTONE 607 CHC	0	0	30	2	607
PANTONE 608 CHC	0	0	38	3	608
PANTONE 609 CHC	0	0	51	6	609
PANTONE 610 CHC	1	0	64	10	610
PANTONE 611 CHC	2	0	82	14	611
PANTONE 612 CHC	3	0	100	21	612
PANTONE 613 CHC	2	0	100	32	613
PANTONE 614 CHC	0	0	26	7	614
PANTONE 615 CHC	0	0	34	11	615
PANTONE 616 CHC	0	0	42	16	616
PANTONE 617 CHC	0	0	55	23	617
PANTONE 618 CHC	0	0	71	33	618
PANTONE 619 CHC	0	1	100	45	619
PANTONE 620 CHC	0	7	100	51	620
PANTONE 621 CHC	12	0	13	4	621
PANTONE 622 CHC	19	0	18	9	622
PANTONE 623 CHC	28	0	24	18	623
PANTONE 624 CHC	42	0	33	29	624
PANTONE 625 CHC	58	0	46	41	625
PANTONE 626 CHC	82	0	72	67	626
PANTONE 627 CHC	100	0	85	78	627
PANTONE 628 CHC	21	0	10	0	628
PANTONE 629 CHC	32	0	12	0	629
PANTONE 630 CHC	48	0	14	2	630
PANTONE 631 CHC	63	0	15	6	631
PANTONE 632 CHC	80	0	15	12	632
PANTONE 633 CHC	100	0	14	23	633
PANTONE 634 CHC	100	0	10	38	634
PANTONE 635 CHC	29	0	9	0	635
PANTONE 636 CHC	39	0	10	0	636
PANTONE 637 CHC	55	0	9	0	637
PANTONE 638 CHC	74	0	9	0	638
PANTONE 639 CHC	92	0	8	7	639
PANTONE 640 CHC	100	0	8	14	640
PANTONE 641 CHC	100	0	2	28	641
PANTONE 642 CHC	11	3	0	7	642
PANTONE 643 CHC	15	5	0	9	643
PANTONE 644 CHC	33	15	0	16	644
PANTONE 645 CHC	51	23	0	27	645
PANTONE 646 CHC	61	29	0	33	646
PANTONE 647 CHC	94	47	0	41	647
PANTONE 648 CHC	100	55	0	55	648
PANTONE 649 CHC	12	6	0	5	649
PANTONE 650 CHC	19	10	0	9	650
PANTONE 651 CHC	32	18	0	16	651
PANTONE 652 CHC	57	33	0	25	652
PANTONE 653 CHC	88	53	0	32	653
PANTONE 654 CHC	100	60	0	52	654
PANTONE 655 CHC	100	60	0	64	655
PANTONE 656 CHC	13	8	0	0	656
PANTONE 657 CHC	21	12	0	0	657
PANTONE 658 CHC	35	21	0	0	658
PANTONE 659 CHC	65	43	0	0	659
PANTONE 660 CHC	90	63	0	0	660
PANTONE 661 CHC	100	77	0	6	661
PANTONE 662 CHC	100	82	0	20	662
PANTONE 663 CHC	6	11	0	2	663
PANTONE 664 CHC	9	15	0	4	664
PANTONE 665 CHC	15	21	0	10	665
PANTONE 666 CHC	23	30	0	16	666
PANTONE 667 CHC	44	54	0	30	667
PANTONE 668 CHC	54	65	0	38	668
PANTONE 669 CHC	70	81	0	49	669
PANTONE 670 CHC	0	19	0	0	670
PANTONE 671 CHC	2	29	0	0	671
PANTONE 672 CHC	5	45	0	0	672
PANTONE 673 CHC	9	63	0	0	673
PANTONE 674 CHC	13	78	0	0	674
PANTONE 675 CHC	13	100	0	8	675
PANTONE 676 CHC	7	100	0	23	676
PANTONE 677 CHC	0	16	2	1	677
PANTONE 678 CHC	1	21	0	2	678
PANTONE 679 CHC	3	27	0	3	679
PANTONE 680 CHC	6	39	0	7	680
PANTONE 681 CHC	7	60	0	20	681
PANTONE 682 CHC	10	76	0	29	682
PANTONE 683 CHC	2	100	0	48	683
PANTONE 684 CHC	0	17	4	1	684
PANTONE 685 CHC	0	24	4	4	685
PANTONE 686 CHC	0	31	4	8	686
PANTONE 687 CHC	0	45	2	18	687
PANTONE 688 CHC	2	60	0	29	688
PANTONE 689 CHC	5	80	0	43	689
PANTONE 690 CHC	0	100	18	61	690
PANTONE 691 CHC	0	20	11	2	691
PANTONE 692 CHC	0	25	13	4	692
PANTONE 693 CHC	0	33	16	10	693
PANTONE 694 CHC	0	47	18	18	694
PANTONE 695 CHC	0	62	25	31	695
PANTONE 696 CHC	0	76	46	45	696
PANTONE 697 CHC	0	90	64	52	697
PANTONE 698 CHC	0	22	12	0	698
PANTONE 699 CHC	0	32	15	0	699
PANTONE 700 CHC	0	45	21	0	700
PANTONE 701 CHC	0	61	27	0	701
PANTONE 702 CHC	0	81	37	7	702
PANTONE 703 CHC	0	94	58	20	703
PANTONE 704 CHC	0	100	79	30	704
PANTONE 705 CHC	0	18	9	0	705
PANTONE 706 CHC	0	25	13	0	706
PANTONE 707 CHC	0	37	18	0	707
PANTONE 708 CHC	0	55	25	0	708
PANTONE 709 CHC	0	75	37	0	709
PANTONE 710 CHC	0	92	56	0	710
PANTONE 711 CHC	0	100	75	3	711
PANTONE 712 CHC	0	17	29	0	712
PANTONE 713 CHC	0	24	42	0	713
PANTONE 714 CHC	0	32	57	0	714
PANTONE 715 CHC	0	42	77	0	715
PANTONE 716 CHC	0	50	96	0	716
PANTONE 717 CHC	0	54	100	6	717
PANTONE 718 CHC	0	56	100	14	718
PANTONE 719 CHC	0	14	28	2	719
PANTONE 720 CHC	0	20	41	4	720
PANTONE 721 CHC	0	26	53	9	721
PANTONE 722 CHC	0	36	76	18	722
PANTONE 723 CHC	0	42	92	25	723
PANTONE 724 CHC	0	47	100	38	724
PANTONE 725 CHC	0	52	100	48	725
PANTONE 726 CHC	0	11	24	6	726
PANTONE 727 CHC	0	17	36	11	727
PANTONE 728 CHC	0	23	51	18	728
PANTONE 729 CHC	0	29	63	26	729
PANTONE 730 CHC	0	36	79	36	730
PANTONE 731 CHC	0	46	100	53	731
PANTONE 732 CHC	0	49	100	64	732
PANTONE Black 2 CHC	0	10	80	89	Black 2
PANTONE Black 3 CHC	37	0	55	90	Black 3
PANTONE Black 4 CHC	0	23	85	90	Black 4
PANTONE Black 5 CHC	0	50	53	87	Black 5
PANTONE Black 6 CHC	60	5	0	95	Black 6
PANTONE Black 7 CHC	0	10	30	87	Black 7
PANTONE Black 7 CHC	0	10	30	87	Black 7
