PANTONE NAME	C	M	Y	K	
PANTONE 1797 CHC	0	100	92	7	1797
PANTONE 1807 CHC	0	95	96	29	1807
PANTONE 1817 CHC	0	80	92	72	1817
PANTONE 182 CHC	0	31	15	0	182
PANTONE 183 CHC	0	52	26	0	183
PANTONE 184 CHC	0	75	40	0	184
PANTONE 185 CHC	0	100	65	0	185
PANTONE 186 CHC	0	100	71	9	186
PANTONE 187 CHC	0	100	70	23	187
PANTONE 188 CHC	0	100	75	50	188
PANTONE 189 CHC	0	45	16	0	189
PANTONE 190 CHC	0	63	24	0	190
PANTONE 191 CHC	0	85	38	0	191
PANTONE 192 CHC	0	100	61	0	192
PANTONE 193 CHC	0	100	65	17	193
PANTONE 194 CHC	0	100	67	34	194
PANTONE 195 CHC	0	94	66	55	195
PANTONE 1895 CHC	0	30	9	0	1895
PANTONE 1905 CHC	0	52	15	0	1905
PANTONE 1915 CHC	0	87	33	0	1915
PANTONE 1925 CHC	0	100	48	0	1925
PANTONE 1935 CHC	0	100	50	13	1935
PANTONE 1945 CHC	0	100	45	27	1945
PANTONE 1955 CHC	0	100	47	35	1955
PANTONE 196 CHC	0	30	8	0	196
PANTONE 197 CHC	0	58	18	0	197
PANTONE 198 CHC	0	90	35	0	198
PANTONE 199 CHC	0	100	50	0	199
PANTONE 200 CHC	0	100	50	14	200
PANTONE 201 CHC	0	100	44	28	201
PANTONE 202 CHC	0	100	45	43	202
PANTONE 203 CHC	0	45	5	0	203
PANTONE 204 CHC	0	68	9	0	204
PANTONE 205 CHC	0	95	19	0	205
PANTONE 206 CHC	0	100	38	10	206
PANTONE 207 CHC	0	100	40	23	207
PANTONE 208 CHC	0	100	34	38	208
PANTONE 209 CHC	0	100	30	53	209
PANTONE 210 CHC	0	45	7	0	210
PANTONE 211 CHC	0	63	11	0	211
PANTONE 212 CHC	0	81	18	0	212
PANTONE 213 CHC	0	100	30	0	213
PANTONE 214 CHC	0	100	31	11	214
PANTONE 215 CHC	0	100	30	30	215
PANTONE 216 CHC	0	100	39	52	216
PANTONE 217 CHC	0	31	1	0	217
PANTONE 218 CHC	3	71	0	0	218
PANTONE 219 CHC	1	95	0	0	219
PANTONE Rubine Red CHC	0	100	18	9	Rubine Red
PANTONE 220 CHC	0	100	20	24	220
